"Uddannelsessted","url","Valgt","Nummer","Uni","Region","Startdato","Afdeling","Speciale","Uddannelsessted2","Afdeling2","Speciale2","id","Runde","Rundestart","lon","lat"
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","3. apr 11:01",71,"AU","Midt.",2013-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","21. okt 13:01",378,"AU","Midt.",2018-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","19. apr 14:21",473,"KU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","8. okt 18:20",261,"AU","Midt.",2016-05-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","8. apr 19:50",357,"AU","Midt.",2013-08-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","20. apr 08:40",514,"KU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","18. apr 14:02",393,"AU","Midt.",2016-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","8. apr 13:21",321,"AU","Midt.",2013-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","16. apr 12:30",448,"AU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v2.asp","16. apr 10:31",219,"AU","Midt.",2015-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v1.asp","9. okt 19:41",206,"AU","Midt.",2014-05-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","24. okt 16:50",406,"AU","Midt.",2017-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","17. apr 11:50",517,"KU","Midt.",2018-08-01,"Akutafdelingen","Fælles Akutmodtagelse","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","12. okt 08:01",345,"AU","Midt.",2016-02-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v2.asp","10. apr 18:10",294,"AU","Midt.",2014-08-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 14",2014-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v1.asp","9. okt 19:21",277,"AU","Midt.",2015-05-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","21. okt 13:43",382,"AU","Midt.",2018-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","14. apr 20:40",421,"AU","Midt.",2018-08-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","20. apr 11:21",529,"AU","Midt.",2016-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","18. apr 16:01",406,"AU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","19. apr 17:51",495,"AU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","20. apr 11:42",531,"AU","Midt.",2016-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v1.asp","9. okt 12:50",163,"AU","Midt.",2014-02-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","12. okt 19:10",411,"AU","Midt.",2016-05-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","21. okt 13:31",381,"AU","Midt.",2018-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","8. apr 10:11",368,"AU","Midt.",2017-11-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v2.asp","20. apr 17:01",411,"KU","Midt.",2015-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","24. okt 14:12",390,"KU","Midt.",2017-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v2.asp","17. apr 16:41",332,"AU","Midt.",2015-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","16. apr 16:11",468,"AU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","8. apr 17:27",344,"AU","Midt.",2013-08-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","21. okt 08:35",278,"AU","Midt.",2017-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v1.asp","8. okt 15:30",173,"AU","Midt.",2015-05-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","12. okt 18:12",404,"AU","Midt.",2016-05-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v1.asp","10. okt 08:41",216,"AU","Midt.",2014-02-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","24. okt 16:20",402,"AU","Midt.",2017-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","17. apr 13:22",526,"AU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v2.asp","16. apr 12:53",232,"AU","Midt.",2015-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 15",2015-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","12. apr 20:31",271,"AU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v1.asp","9. okt 16:14",182,"AU","Midt.",2014-05-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","10. apr 15:50",475,"AU","Midt.",2017-08-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","25. okt 12:51",461,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","11. apr 10:40",523,"AU","Midt.",2017-07-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","20. okt 18:35",334,"AU","Midt.",2018-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","8. apr 13:21",387,"AU","Midt.",2017-11-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v1.asp","8. okt 17:40",187,"KU","Midt.",2015-02-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","19. okt 18:31",185,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v2.asp","10. apr 10:03",251,"SDU","Midt.",2014-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v2.asp","10. apr 10:02",251,"SDU","Midt.",2014-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","8. apr 09:01",293,"AU","Midt.",2013-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","21. okt 09:11",282,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","16. apr 17:51",476,"AU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","19. okt 09:51",137,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","19. apr 16:22",485,"AU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","8. apr 14:54",396,"AU","Midt.",2017-11-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","20. okt 18:28",333,"AU","Midt.",2018-02-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v1.asp","10. okt 09:41",224,"AU","Midt.",2014-05-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","20. apr 10:13",522,"AU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v1.asp","9. okt 15:10",177,"AU","Midt.",2014-02-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Forår 14",2014-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v2.asp","9. apr 14:21",199,"SDU","Midt.",2014-08-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","9. apr 18:50",39,"AAU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","13. apr 14:21",311,"AU","Midt.",2018-11-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","19. okt 16:10",247,"AU","Midt.",2018-02-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v2.asp","16. apr 12:20",447,"AAU","Midt.",2018-08-01,"Akutafdelingen","Fælles Akutmodtagelse","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 18",2018-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","7. apr 15:30",323,"AU","Midt.",2017-08-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","10. apr 12:40",456,"AU","Midt.",2017-08-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v1.asp","9. okt 16:32",259,"AU","Midt.",2015-02-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Forår 15",2015-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v2.asp","9. apr 10:51",178,"AU","Midt.",2014-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","13. okt 08:41",426,"AU","Midt.",2016-05-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","24. okt 19:11",419,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2015v2.asp","21. apr 12:56",464,"KU","Midt.",2015-08-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 15",2015-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","19. okt 16:01",171,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","3. apr 08:50",56,"AU","Midt.",2013-08-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","8. okt 09:50",210,"AU","Midt.",2016-02-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v1.asp","9. okt 18:21",328,"AU","Midt.",2016-05-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Forår 16",2016-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","20. apr 18:20",572,"AU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","8. apr 13:10",320,"KU","Midt.",2013-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","10. apr 19:00",495,"AU","Midt.",2017-08-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","20. okt 17:15",326,"AU","Midt.",2018-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2018v1.asp","21. okt 15:21",392,"AU","Midt.",2018-02-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Forår 18",2018-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2014v2.asp","10. apr 14:50",277,"AU","Midt.",2014-08-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Efterår 14",2014-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","25. okt 10:00",444,"AU","Midt.",2017-02-01,"Akutafdelingen","Tværgående","Regionspsykiatrien Vest","Psykiatrisk afdeling","Psykiatri",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2013v2.asp","8. apr 10:20",302,"SDU","Midt.",2013-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ikast-Brande Kommune","Almen praksis","Almen medicin",NA,"Efterår 13",2013-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","13. apr 12:11",157,"AU","Midt.",2016-08-01,"Akutafdelingen","Tværgående","Almen praksis i Herning Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v1.asp","24. okt 13:11",384,"AU","Midt.",2017-05-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Forår 17",2017-02-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2016v2.asp","20. apr 18:00",568,"KU","Midt.",2016-11-01,"Akutafdelingen","Tværgående","Almen praksis i Ringkøbing-Skjern Kommune","Almen praksis","Almen medicin",NA,"Efterår 16",2016-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","11. apr 08:50",512,"AU","Midt.",2017-08-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
"Hospitalsenheden Vest, Regionshospitalet Herning","https://www.basislaege.dk/Ajax_get2017v2.asp","10. apr 20:10",502,"AU","Midt.",2017-08-01,"Akutafdelingen","Tværgående","Almen praksis i område Vest, Midtjylland","Almen praksis","Almen medicin",NA,"Efterår 17",2017-08-01,8.9692161,56.1406612
